Day of Year,Pinus strobiformis Average Sap flow,Pinus strobiformis sd, Pinus ponderosa Avg. sap flow,Pinus ponderosa sd, Pseudotsuga menziesii Avg. sap flow, Pseudotsuga menziesii sd,Pinus strobiformis  Sensor M1S,Pinus strobiformis Sensor M2N, Pinus strobiformis Sensor M2S, Pinus ponderosa Sensor P1N, Pinus ponderosa Sensor P3S, Pinus ponderosa Sensor P3N,Pseudotsuga menziesii Sensor D1S,Pseudotsuga menziesii Sensor D2S
[Julian Day],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1]
1,0,0,0.0064158,0.0066494,0,0,0,0,0,0,0.013276,0.0059709,0,0
1.0208,0.026163,0.015868,0.0061894,0.01072,0.020976,0.021113,0.0081706,0.038161,0.032157,0.018568,0,0,0.035905,0.0060476
1.0417,0.10086,0.0093821,0.070512,0.0040762,0.072494,0.055269,0.090289,0.10408,0.1082,0.072126,0.073534,0.065876,0.11158,0.033413
1.0625,0.2894,0.01154,0.26987,0.016217,0.17101,0.17959,0.29256,0.29906,0.27663,0.26325,0.28835,0.25801,0.298,0.044016
1.0833,0.30917,0.029415,0.32438,0.035724,0.22088,0.10906,0.33387,0.31701,0.27663,0.30258,0.3656,0.30495,0.298,0.14376
1.1042,0.3555,0.032558,0.35926,0.033325,0.26799,0.11573,0.37633,0.3722,0.31799,0.34304,0.39759,0.33715,0.34982,0.18615
1.125,0.40421,0.041061,0.399,0.055768,0.33239,0.10042,0.44205,0.41004,0.36055,0.36368,0.4633,0.37003,0.40339,0.26138
1.1458,0.75195,0.071218,0.77806,0.10691,0.57235,0.23117,0.82859,0.73947,0.6878,0.70192,0.90029,0.73199,0.73582,0.40889
1.1667,0.76934,0.09989,0.94271,0.23601,0.73049,0.066963,0.88076,0.73947,0.6878,0.75068,1.2062,0.87126,0.77784,0.68315
1.1875,0.58237,0.13075,0.74357,0.235,0.67745,0.11891,0.72668,0.54859,0.47182,0.53777,0.99963,0.69332,0.59337,0.76153
1.2083,0.52236,0.11681,0.59977,0.16427,0.61875,0.063813,0.65247,0.48809,0.42651,0.4707,0.78468,0.54393,0.57363,0.66388
1.2292,1.0056,0.16025,1.2044,0.31481,0.89172,0.2121,1.1817,0.96677,0.86831,0.95351,1.5576,1.1019,1.0417,0.74174
1.25,1.2924,0.16811,1.4426,0.46496,1.0355,0.44324,1.4747,1.259,1.1435,0.97972,1.9096,1.4384,1.3489,0.72208
1.2708,1.3567,0.13883,1.6172,0.33123,1.0627,0.50932,1.505,1.3352,1.2299,1.3366,1.9826,1.5323,1.4228,0.70255
1.2917,1.0656,0.13287,1.244,0.29959,0.92993,0.32157,1.2102,1.0379,0.94879,1.0061,1.5804,1.1454,1.1573,0.70255
1.3125,1.283,0.18099,1.5242,0.36742,1.0699,0.46409,1.4747,1.259,1.1151,1.2236,1.9338,1.4152,1.3981,0.74174
1.3333,1.3572,0.16837,1.5504,0.32413,1.0273,0.59456,1.5355,1.3352,1.2009,1.2798,1.9096,1.4617,1.4477,0.60688
1.3542,1.8716,0.23043,2.1353,0.38268,1.323,0.87746,2.1136,1.8462,1.6548,1.7843,2.5433,2.0784,1.9435,0.70255
1.375,1.6996,0.22793,1.9265,0.40031,1.2655,0.76844,1.9474,1.6524,1.499,1.5707,2.36,1.8489,1.8088,0.72208
1.3958,1.4621,0.18646,1.6172,0.33123,1.1542,0.66622,1.6591,1.4388,1.2884,1.3366,1.9826,1.5323,1.6253,0.68315
1.4167,1.6778,0.19286,1.7514,0.34221,1.1892,0.87629,1.8822,1.6524,1.499,1.4231,2.106,1.725,1.8088,0.56956
1.4375,1.7586,0.21079,1.9268,0.41721,1.244,0.8744,1.9803,1.7347,1.5608,1.5707,2.3859,1.8239,1.8623,0.62574
1.4583,1.3966,0.21575,1.5952,0.44896,1.0618,0.61668,1.6279,1.3609,1.2009,1.1958,2.0811,1.5087,1.4979,0.62574
1.4792,0.96213,0.18257,1.1378,0.39428,0.61817,0.6313,1.1534,0.94335,0.78968,0.77536,1.5576,1.0804,1.0646,0.17178
1.5,1.2889,0.18329,1.6009,0.48421,0.68156,0.94378,1.4446,1.3352,1.0869,1.1407,2.106,1.556,1.3489,0.014209
1.5208,1.4031,1.0443,1.3213,0.54389,1.1271,0.4888,2.6015,0.92009,0.6878,0.80024,1.8855,1.2783,1.4727,0.78145
1.5417,0.25062,0.43408,0.30258,0.4074,0.76105,0.32021,0.75185,0,0,0,0.76581,0.14192,0.53463,0.98748
1.5625,0.077638,0.13447,0.16002,0.27717,0.21153,0.16069,0.23291,0,0,0,0.48007,0,0.097907,0.32516
1.5833,0.0064005,0.011086,0.081332,0.14087,0.093076,0.13163,0.019201,0,0,0,0.244,0,0,0.18615
1.6042,0,0,0,0,0.065077,0.092033,0,0,0,0,0,0,0,0.13015
1.625,0,0,0.053467,0.092608,0.065077,0.092033,0,0,0,0,0.1604,0,0,0.13015
1.6458,0,0,0.024511,0.042455,0.051898,0.073395,0,0,0,0,0.073534,0,0,0.1038
1.6667,0,0,0.0018837,0.0032627,0.058413,0.082608,0,0,0,0,0.0056511,0,0,0.11683
1.6875,0,0,0,0,0.14645,0.20711,0,0,0,0,0,0,0,0.29289
1.7083,0,0,0,0,0.64668,0.69596,0,0,0,0,0,0,0.15456,1.1388
1.7292,0,0,0.013707,0.023742,0.45485,0.57636,0,0,0,0,0.041122,0,0.047302,0.86239
1.75,0.05878,0.10181,0.0072963,0.012638,0.38819,0.30928,0.17634,0,0,0,0.021889,0,0.16949,0.60688
1.7708,0.10712,0.1784,0.049071,0.084993,0.4369,0.26706,0.31307,0,0.0082968,0,0.14721,0,0.24806,0.62574
1.7917,0.09752,0.16891,0,0,0.36649,0.23522,0.29256,0,0,0,0,0,0.20017,0.53282
1.8125,0.09752,0.16891,0.0044255,0.0076651,0.37326,0.19997,0.29256,0,0,0,0.013276,0,0.23186,0.51466
1.8333,0.16322,0.22281,0.020778,0.035988,0.41487,0.14113,0.41988,0.050276,0.019498,0,0.062333,0,0.31507,0.51466
1.8542,0.2553,0.24212,0.02836,0.049122,0.40633,0.1532,0.53322,0.089944,0.14275,0,0.085081,0,0.298,0.51466
1.875,0.59149,0.32026,0.049071,0.084993,0.441,0.078703,0.93374,0.29906,0.54168,0,0.14721,0,0.38535,0.49665
1.8958,0.36051,0.28187,0,0,0.28418,0.30048,0.65247,0.089944,0.33912,0,0,0,0.071715,0.49665
1.9167,0.42059,0.28415,0.017171,0.029742,0.31536,0.30753,0.70173,0.13353,0.42651,0,0.051514,0,0.097907,0.53282
1.9375,0.30662,0.25992,0,0,0.29242,0.39195,0.58024,0.062991,0.27663,0,0,0,0.015267,0.56956
1.9583,0.49299,0.31685,0,0,0.36206,0.29345,0.85457,0.26384,0.36055,0,0,0,0.15456,0.56956
1.9792,0.30576,0.3016,0,0,0.29921,0.35625,0.65247,0.10408,0.16071,0,0,0,0.047302,0.55112
2,0,0,0,0,0.046792,0.066174,0,0,0,0,0,0,0,0.093585
2.0208,0.03134,0.020328,0.059994,0.048867,0.064833,0.040661,0.047106,0.038516,0.0083963,0.11641,0.030736,0.032839,0.036081,0.093585
2.0417,0.33702,0.056359,0.35671,0.082963,0.21379,0.17,0.39269,0.33836,0.28,0.43805,0.35986,0.27221,0.334,0.093585
2.0625,0.40617,0.059412,0.41522,0.09193,0.24614,0.25115,0.46133,0.41392,0.34326,0.5028,0.42338,0.31948,0.42373,0.068554
2.0833,0.43557,0.071763,0.38216,0.049779,0.26249,0.30726,0.50843,0.43333,0.36496,0.355,0.43961,0.35188,0.47975,0.04522
2.1042,0.59342,0.080018,0.6117,0.09407,0.35101,0.43246,0.68119,0.57455,0.52453,0.68492,0.64457,0.5056,0.65681,0.04522
