"","Week.x","Year.x","mean_t","mean_vpd","mean_swc","mean_gpp","mean_ET","mean_NEE","mean_ppfd","mean_SWP","mean_PP","mean_DF","mean_3sap","N.x","se_t","se_vpd","se_GPP","se_swc","se_ET","se_SWP","se_PP","se_DF","se_3sap","se_ppfd","yearweek","Week.y","Year.y","thermal_mean","thermal_sd","tdiff_daf_16m","tdiff_daf_8m","N.y","se_tdiff_daf_16m","se_tdiff_daf_8m","se_CANOPY_TEMP"
"1","18","2023",9.14426666666667,0.819980696443492,9.64844444444445,8.48997827059133,3.53773183176096e-05,-6.64540544436623,1226.9204,3.84964131666667,1.34886353733333,3.88356729066667,3.02735738155556,150,0.26322893510103,0.213205822312763,0.310375796688481,0.0288202170472853,1.83977024864071e-06,0.199402735571732,0.0747210325288862,0.181674064049866,0.150292672089742,49.7647913673699,"2023_18","18","2023",10.1190668745749,3.78681348010528,1.18058473171778,0.876263303146352,56,0.150316395809246,0.121302814558821,0.506034236791823
"2","19","2023",11.80396,1.12035122844971,8.57142857142857,9.12452369477943,5.13617150667806e-05,-7.14342529784514,1267.57222857143,4.62680365714286,1.54842591885714,4.35437057657143,3.50986671752381,175,0.28703089394606,0.261883909742894,0.320428787326727,0.0225758092188057,3.29747065982534e-06,0.195766535828128,0.0677753476195482,0.163085379111654,0.140275610457894,45.209906481508,"2023_19","19","2023",14.3364337883249,3.70894894307306,1.7228416830617,1.56260484095643,76,0.154606000586736,0.129994909151737,0.425445621831776
"3","20","2023",13.4553771428571,0.884623034927429,8.48393650793651,7.82153180142914,5.62577592329198e-05,-5.6287556258112,986.205085714286,4.2994588,1.32054352,3.71189232571429,3.11063154857143,175,0.17000276295529,0.218188628624192,0.302310873857098,0.0785404067254548,3.34036520824805e-06,0.185195720656676,0.0604693752441698,0.136789678519464,0.125765160049344,45.3964046453562,"2023_20","20","2023",15.3227037900221,2.64471930480733,1.64740967237509,1.40721359394372,51,0.220873096254999,0.203235660904043,0.370334777036611
"4","21","2022",16.0296342857143,1.53371598578229,5.50673015873016,9.39087207493314,4.9059405184418e-05,-6.84437882815097,1317.82091428571,3.08759091542857,1.82441673885714,4.27002116571429,3.06067627333333,175,0.292508027178208,0.323942169735314,0.316380243824555,0.00359395559214219,2.42626764695737e-06,0.13408150895023,0.0820708282363348,0.143613847449688,0.117113164505862,46.6339359699322,"2022_21","21","2022",17.2227956765301,4.14000806258658,0.970326540727671,0.757610491344955,81,0.227383740228003,0.208251001166046,0.460000895842954
"5","21","2023",14.7809714285714,1.361785520172,8.60653968253968,8.76027669871543,4.65171059777878e-05,-6.2448387813868,1318.71617142857,5.49006885714286,1.97304829428571,4.29496256571429,3.91935990571429,175,0.173759750985756,0.211332169872332,0.268552787619093,0.039067376628754,2.0448644145288e-06,0.17111379127028,0.0675070424093358,0.12153493917616,0.117446144026891,45.0443855384492,"2023_21","21","2023",16.4233638479435,2.0046843416447,1.78163545288174,1.41361076152372,81,0.115707903314154,0.0946701315968265,0.222742704627189
"6","22","2022",15.5510857142857,1.46405232252743,5.29130158730159,9.21044868783371,3.48256656705253e-05,-6.42092394511474,1347.46868571429,1.96010779714286,1.15359733462857,3.16993613142857,2.09454708773333,175,0.265710498269174,0.318204529073207,0.273696668524954,0.00429305594011854,1.87642667857975e-06,0.100892890231604,0.0573037908224664,0.119505709008574,0.0911281758003722,46.4289008872274,"2022_22","22","2022",16.4853899190053,4.33855113302883,1.08667350109483,0.646583948856025,67,0.261672491695338,0.24454775694055,0.53003838123355
"7","22","2023",13.0738114285714,1.13837857118057,7.29879365079365,10.4192502686057,4.34046272720261e-05,-7.9916956917,1249.68331428571,4.86570540571429,1.579240176,3.993659288,3.47953495657143,175,0.24245608684566,0.262447356491274,0.297803550461741,0.0200551589049304,2.21988278355755e-06,0.185086417242523,0.0673573293970779,0.134343509841184,0.126442880525984,44.5379432807658,"2023_22","22","2023",15.0647298490724,3.01492045822327,1.79595520118508,1.49778618710058,71,0.131094411276677,0.122682398888103,0.357805230073278
"8","23","2022",19.6934285714286,1.77946686527886,5.12869841269841,5.59477755961023,4.06624847181681e-05,-3.50900693552646,1218.39537142857,0.720406481714286,0.491519997142857,2.30962844628571,1.17385164171429,175,0.258379740067619,0.303085389762442,0.216265517570151,0.00301398456320976,1.88111816658563e-06,0.0457745245316198,0.0295157463203814,0.0856356915990998,0.0512239312889033,45.9530675098149,"2022_23","23","2022",19.7684501102072,4.02214873238071,0.760504904727727,0.549409014316768,73,0.205713629855149,0.20195848316577,0.4707569018313
"9","23","2023",15.0960342857143,1.40072714822343,6.62228571428571,9.53021376495029,3.8981866443448e-05,-7.10335863890343,1208.12611428571,4.96667784571429,1.50324319485714,3.99340453142857,3.48777519066667,175,0.237173965361844,0.281698901407506,0.282054476082802,0.012538007135206,2.16217905937098e-06,0.172989790939225,0.0572854083325261,0.129571276482925,0.11765103863838,43.8967800039801,"2023_23","23","2023",16.528022699927,3.01096990953784,1.80760016471572,1.4821917140115,71,0.142874634108439,0.130147498478644,0.357336386201311
"10","24","2022",20.7404,1.96129679996057,4.98031746031746,6.15698937294857,3.40247176637451e-05,-3.36243564790086,1130.72297142857,0.372106950857143,0.251551945142857,1.50188189028571,0.708513595428571,175,0.261159777327835,0.449293232570238,0.235561625179079,0.00439806909787073,1.97039795806793e-06,0.0239074280002244,0.0186901323601935,0.0787118838774927,0.0351008688454201,47.5295841273487,"2022_24","24","2022",21.5483141378697,3.68877657374692,0.31984191564745,0.27234191564745,72,0.1640718416661,0.150672281261535,0.434726488263088
