"","Year","Season","species","r2","relation"
"1",2022,"Monsoon","Three Sp. Mean",0.371181594563589,"vpd"
"2",2022,"Post-monsoon","Three Sp. Mean",0.93509583825573,"vpd"
"3",2022,"Pre-monsoon","Three Sp. Mean",-0.256578452597345,"vpd"
"4",2023,"Monsoon","Three Sp. Mean",0.303663281687669,"vpd"
"5",2023,"Post-monsoon","Three Sp. Mean",0.278768351909294,"vpd"
"6",2023,"Pre-monsoon","Three Sp. Mean",0.550229931151926,"vpd"
"7",2022,"Monsoon","Pinus strobiformis",0.372785391141022,"vpd"
"8",2022,"Post-monsoon","Pinus strobiformis",0.916126757057804,"vpd"
"9",2022,"Pre-monsoon","Pinus strobiformis",-0.216144704140765,"vpd"
"10",2023,"Monsoon","Pinus strobiformis",0.320026809042955,"vpd"
"11",2023,"Post-monsoon","Pinus strobiformis",0.288781291417403,"vpd"
"12",2023,"Pre-monsoon","Pinus strobiformis",0.705452699792406,"vpd"
"13",2022,"Monsoon","Pinus ponderosa",0.29588239246223,"vpd"
"14",2022,"Post-monsoon","Pinus ponderosa",0.925556345538793,"vpd"
"15",2022,"Pre-monsoon","Pinus ponderosa",-0.321630474048928,"vpd"
"16",2023,"Monsoon","Pinus ponderosa",0.231662092055671,"vpd"
"17",2023,"Post-monsoon","Pinus ponderosa",0.212299945869637,"vpd"
"18",2023,"Pre-monsoon","Pinus ponderosa",0.43909902566142,"vpd"
"19",2022,"Monsoon","Pseudotsuga menziesii",0.402102658505221,"vpd"
"20",2022,"Post-monsoon","Pseudotsuga menziesii",0.911278992345522,"vpd"
"21",2022,"Pre-monsoon","Pseudotsuga menziesii",-0.249804705206364,"vpd"
"22",2023,"Monsoon","Pseudotsuga menziesii",0.306424419377661,"vpd"
"23",2023,"Post-monsoon","Pseudotsuga menziesii",0.28579557737278,"vpd"
"24",2023,"Pre-monsoon","Pseudotsuga menziesii",0.293314390290944,"vpd"
"25",2022,"Monsoon","Three Sp. Mean",0.196692402354944,"swc"
"26",2022,"Post-monsoon","Three Sp. Mean",-0.35541797285215,"swc"
"27",2022,"Pre-monsoon","Three Sp. Mean",0.936920120439273,"swc"
"28",2023,"Monsoon","Three Sp. Mean",0.591059734402446,"swc"
"29",2023,"Post-monsoon","Three Sp. Mean",0.781718053288206,"swc"
"30",2023,"Pre-monsoon","Three Sp. Mean",0.173667354475134,"swc"
"31",2022,"Monsoon","Pinus strobiformis",0.185790702729208,"swc"
"32",2022,"Post-monsoon","Pinus strobiformis",-0.437085884762485,"swc"
"33",2022,"Pre-monsoon","Pinus strobiformis",0.905417683889122,"swc"
"34",2023,"Monsoon","Pinus strobiformis",0.600492632804289,"swc"
"35",2023,"Post-monsoon","Pinus strobiformis",0.770487234324184,"swc"
"36",2023,"Pre-monsoon","Pinus strobiformis",-0.0216504261730397,"swc"
"37",2022,"Monsoon","Pinus ponderosa",0.255250093991387,"swc"
"38",2022,"Post-monsoon","Pinus ponderosa",-0.375360035152618,"swc"
"39",2022,"Pre-monsoon","Pinus ponderosa",0.93375081098932,"swc"
"40",2023,"Monsoon","Pinus ponderosa",0.605716425525328,"swc"
"41",2023,"Post-monsoon","Pinus ponderosa",0.759225286055538,"swc"
"42",2023,"Pre-monsoon","Pinus ponderosa",0.245761330694747,"swc"
"43",2022,"Monsoon","Pseudotsuga menziesii",0.170615994978264,"swc"
"44",2022,"Post-monsoon","Pseudotsuga menziesii",-0.224447401299498,"swc"
"45",2022,"Pre-monsoon","Pseudotsuga menziesii",0.944449576187571,"swc"
"46",2023,"Monsoon","Pseudotsuga menziesii",0.559102996301678,"swc"
"47",2023,"Post-monsoon","Pseudotsuga menziesii",0.791864306607844,"swc"
"48",2023,"Pre-monsoon","Pseudotsuga menziesii",0.372884398923413,"swc"
