"","Year","Season","species","r2","relation"
"1",2022,"Monsoon","Three Sp. Mean",0.35732150942243,"vpd"
"2",2022,"Post-monsoon","Three Sp. Mean",0.938843927419726,"vpd"
"3",2022,"Pre-monsoon","Three Sp. Mean",-0.255121854561868,"vpd"
"4",2023,"Monsoon","Three Sp. Mean",0.311862092259804,"vpd"
"5",2023,"Post-monsoon","Three Sp. Mean",0.280195084233345,"vpd"
"6",2023,"Pre-monsoon","Three Sp. Mean",0.519786309942442,"vpd"
"7",2022,"Monsoon","Pinus strobiformis",0.32892483308605,"vpd"
"8",2022,"Post-monsoon","Pinus strobiformis",0.90550178472075,"vpd"
"9",2022,"Pre-monsoon","Pinus strobiformis",-0.235136320941205,"vpd"
"10",2023,"Monsoon","Pinus strobiformis",0.334670981744464,"vpd"
"11",2023,"Post-monsoon","Pinus strobiformis",0.287369980429341,"vpd"
"12",2023,"Pre-monsoon","Pinus strobiformis",0.678402230011882,"vpd"
"13",2022,"Monsoon","Pinus ponderosa",0.169564939413876,"vpd"
"14",2022,"Post-monsoon","Pinus ponderosa",0.918932206103068,"vpd"
"15",2022,"Pre-monsoon","Pinus ponderosa",-0.322157564125077,"vpd"
"16",2023,"Monsoon","Pinus ponderosa",0.200306162470487,"vpd"
"17",2023,"Post-monsoon","Pinus ponderosa",0.182372041574288,"vpd"
"18",2023,"Pre-monsoon","Pinus ponderosa",0.369932690021098,"vpd"
"19",2022,"Monsoon","Pseudotsuga menziesii",0.441009559746826,"vpd"
"20",2022,"Post-monsoon","Pseudotsuga menziesii",0.953146389345149,"vpd"
"21",2022,"Pre-monsoon","Pseudotsuga menziesii",-0.250457519855732,"vpd"
"22",2023,"Monsoon","Pseudotsuga menziesii",0.317883637509634,"vpd"
"23",2023,"Post-monsoon","Pseudotsuga menziesii",0.293013197662619,"vpd"
"24",2023,"Pre-monsoon","Pseudotsuga menziesii",0.317364682309232,"vpd"
"25",2022,"Monsoon","Three Sp. Mean",0.203444576237928,"swc"
"26",2022,"Post-monsoon","Three Sp. Mean",-0.367158894565977,"swc"
"27",2022,"Pre-monsoon","Three Sp. Mean",0.941545493096181,"swc"
"28",2023,"Monsoon","Three Sp. Mean",0.579922960123418,"swc"
"29",2023,"Post-monsoon","Three Sp. Mean",0.783974182147505,"swc"
"30",2023,"Pre-monsoon","Three Sp. Mean",0.170564650874043,"swc"
"31",2022,"Monsoon","Pinus strobiformis",0.218271896299633,"swc"
"32",2022,"Post-monsoon","Pinus strobiformis",-0.43588346365108,"swc"
"33",2022,"Pre-monsoon","Pinus strobiformis",0.925149663058019,"swc"
"34",2023,"Monsoon","Pinus strobiformis",0.590541257491982,"swc"
"35",2023,"Post-monsoon","Pinus strobiformis",0.769845001905907,"swc"
"36",2023,"Pre-monsoon","Pinus strobiformis",-0.0176289922463094,"swc"
"37",2022,"Monsoon","Pinus ponderosa",0.320634352606957,"swc"
"38",2022,"Post-monsoon","Pinus ponderosa",-0.364720488842634,"swc"
"39",2022,"Pre-monsoon","Pinus ponderosa",0.917857878239048,"swc"
"40",2023,"Monsoon","Pinus ponderosa",0.617281960979294,"swc"
"41",2023,"Post-monsoon","Pinus ponderosa",0.772980509384466,"swc"
"42",2023,"Pre-monsoon","Pinus ponderosa",0.290796862648154,"swc"
"43",2022,"Monsoon","Pseudotsuga menziesii",0.130819019125781,"swc"
"44",2022,"Post-monsoon","Pseudotsuga menziesii",-0.291728225225583,"swc"
"45",2022,"Pre-monsoon","Pseudotsuga menziesii",0.947023508587494,"swc"
"46",2023,"Monsoon","Pseudotsuga menziesii",0.544577241838806,"swc"
"47",2023,"Post-monsoon","Pseudotsuga menziesii",0.788292948956962,"swc"
"48",2023,"Pre-monsoon","Pseudotsuga menziesii",0.308874769365462,"swc"
