"time","Average_SWP","Average_PP","Average_DF","date_time","Time","mean_sap_flow"
1,1.1688,0.86799,0.5708,2022-01-01,2022-01-01,1.018395
1.0208,1.8954,1.343,0.90829,2022-01-01 00:30:00,2022-01-01 00:30:00,1.6192
1.0417,2.0126,1.3348,1.0127,2022-01-01 01:00:00,2022-01-01 01:00:00,1.6737
1.0625,0.21156,0.18022,0.12783,2022-01-01 01:30:00,2022-01-01 01:30:00,0.19589
1.0833,0.0091516,0.046861,0.016524,2022-01-01 02:00:00,2022-01-01 02:00:00,0.0280063
1.1042,0.083305,0.12597,0.057154,2022-01-01 02:30:00,2022-01-01 02:30:00,0.1046375
1.125,0.13178,0.12186,0.083708,2022-01-01 03:00:00,2022-01-01 03:00:00,0.12682
1.1458,0.15703,0.13394,0.095701,2022-01-01 03:30:00,2022-01-01 03:30:00,0.145485
1.1667,0.033517,0.11603,0.047657,2022-01-01 04:00:00,2022-01-01 04:00:00,0.0747735
1.1875,0.26292,0.20603,0.15825,2022-01-01 04:30:00,2022-01-01 04:30:00,0.234475
1.2083,0.84147,0.58701,0.44861,2022-01-01 05:00:00,2022-01-01 05:00:00,0.71424
1.2292,0.79784,0.52176,0.45924,2022-01-01 05:30:00,2022-01-01 05:30:00,0.6598
1.25,0.22504,0.15998,0.1834,2022-01-01 06:00:00,2022-01-01 06:00:00,0.19251
1.2708,2.017,1.4213,1.0905,2022-01-01 06:30:00,2022-01-01 06:30:00,1.71915
1.2917,1.0297,0.73275,0.66989,2022-01-01 07:00:00,2022-01-01 07:00:00,0.881225
1.3125,1.4817,1.2397,0.8565,2022-01-01 07:30:00,2022-01-01 07:30:00,1.3607
1.3333,0.13588,0.37917,0.18793,2022-01-01 08:00:00,2022-01-01 08:00:00,0.257525
1.3542,0.33635,0.60938,0.26881,2022-01-01 08:30:00,2022-01-01 08:30:00,0.472865
1.375,0.34269,0.78568,0.31648,2022-01-01 09:00:00,2022-01-01 09:00:00,0.564185
1.3958,2.5445,2.5427,1.4492,2022-01-01 09:30:00,2022-01-01 09:30:00,2.5436
1.4167,2.5938,2.5321,1.5403,2022-01-01 10:00:00,2022-01-01 10:00:00,2.56295
1.4375,3.4766,3.1292,2.0774,2022-01-01 10:30:00,2022-01-01 10:30:00,3.3029
1.4583,3.0213,2.6353,1.8258,2022-01-01 11:00:00,2022-01-01 11:00:00,2.8283
1.4792,0.67752,0.9574,0.55472,2022-01-01 11:30:00,2022-01-01 11:30:00,0.81746
1.5,2.9157,2.7468,1.7447,2022-01-01 12:00:00,2022-01-01 12:00:00,2.83125
1.5208,2.5136,2.3771,1.6335,2022-01-01 12:30:00,2022-01-01 12:30:00,2.44535
1.5417,2.9682,2.6192,1.8421,2022-01-01 13:00:00,2022-01-01 13:00:00,2.7937
1.5625,3.0763,2.5585,1.8367,2022-01-01 13:30:00,2022-01-01 13:30:00,2.8174
1.5833,3.0365,2.5574,1.7504,2022-01-01 14:00:00,2022-01-01 14:00:00,2.79695
1.6042,3.0469,2.4465,1.7559,2022-01-01 14:30:00,2022-01-01 14:30:00,2.7467
1.625,2.5874,2.0262,1.5929,2022-01-01 15:00:00,2022-01-01 15:00:00,2.3068
1.6458,2.3917,1.7755,1.486,2022-01-01 15:30:00,2022-01-01 15:30:00,2.0836
1.6667,2.3938,1.8009,1.486,2022-01-01 16:00:00,2022-01-01 16:00:00,2.09735
1.6875,2.596,1.8384,1.5621,2022-01-01 16:30:00,2022-01-01 16:30:00,2.2172
1.7083,2.5849,1.7315,1.5519,2022-01-01 17:00:00,2022-01-01 17:00:00,2.1582
1.7292,2.3959,1.4339,1.4608,2022-01-01 17:30:00,2022-01-01 17:30:00,1.9149
1.75,2.5336,1.379,1.4959,2022-01-01 18:00:00,2022-01-01 18:00:00,1.9563
1.7708,2.5903,1.3946,1.5468,2022-01-01 18:30:00,2022-01-01 18:30:00,1.99245
1.7917,2.6324,1.4628,1.5947,2022-01-01 19:00:00,2022-01-01 19:00:00,2.0476
1.8125,2.7156,1.5033,1.6444,2022-01-01 19:30:00,2022-01-01 19:30:00,2.10945
1.8333,2.7719,1.5309,1.7046,2022-01-01 20:00:00,2022-01-01 20:00:00,2.1514
