Week,Year,Season,Season2,mean_t,mean_vpd,mean_swc,mean_gpp,mean_ET,mean_NEE,mean_ppfd,mean_SWP,mean_PP,mean_DF,mean_3sap,N.x,se_t,se_vpd,se_GPP,se_swc,se_ET,se_SWP,se_PP,se_DF,se_3sap,se_ppfd,date.x,P4_PRI_mean,P4_PRI_se,P5_NDVI_mean,P5_NDVI_se,thermal_mean,thermal_sd,tdiff_daf_16m,tdiff_daf_8m,se_tdiff_daf_16m,se_tdiff_daf_8m,se_CANOPY_TEMP
21,2022,Pre-Monsoon,Growth,17.50857143,1.698095052,5.504535147,12.72133285,6.87E-05,-10.1150756,1957.510204,4.580204082,2.600077551,5.866730612,3.590140816,49,0.396034124,0.456750758,0.3930846,0.005938417,5.20E-06,0.096772498,0.10539196,0.08251103,0.095339891,28.69331327,5/25/22,0.028783429,0.006738384,0.640753823,0.002467895,17.22279568,4.140008063,0.970326541,0.757610491,0.22738374,0.208251001,0.460000896
22,2022,Pre-Monsoon,Growth,16.81510204,1.612417877,5.287528345,11.56496581,4.93E-05,-8.703775125,2003.55102,2.888428571,1.686372857,4.345867347,2.287400714,49,0.338007759,0.439424247,0.30171716,0.008013074,3.63E-06,0.128756546,0.080826885,0.095738507,0.103754553,11.05332857,5/30/22,0.03229953,0.001920438,0.635085252,0.001701517,16.48538992,4.338551133,1.086673501,0.646583949,0.261672492,0.244547757,0.530038381
23,2022,Pre-Monsoon,Growth,21.25163265,1.966157286,5.125170068,6.868631265,5.97E-05,-4.68925164,1703.408163,0.990642857,0.668723469,3.161365306,0.829683163,49,0.298486595,0.302039341,0.425215012,0.005222193,3.54E-06,0.076245549,0.048984482,0.061171229,0.062343444,75.92107295,6/6/22,0.032963884,0.003509918,0.64773041,0.016343715,19.76845011,4.022148732,0.760504905,0.549409014,0.20571363,0.201958483,0.470756902
24,2022,Pre-Monsoon,Growth,21.88142857,2.106655234,4.975963719,7.598362936,4.61E-05,-4.718854739,1616.581633,0.494662735,0.350434531,2.086619592,0.422548633,49,0.439349879,0.8488381,0.479121751,0.007812167,4.23E-06,0.036345261,0.036038363,0.131699588,0.029970338,85.16225244,6/13/22,0.028739357,0.013774622,0.656511717,0.008422683,21.54831414,3.688776574,0.319841916,0.272341916,0.164071842,0.150672281,0.434726488
25,2022,Pre-Monsoon,Growth,18.83408163,1.17974454,4.819501134,10.51753016,5.24E-05,-7.842320812,1306.37551,0.666875306,0.18800049,0.846326939,0.427437898,49,0.313860768,0.558820173,0.419537779,0.003715928,6.15E-06,0.040250535,0.014342498,0.097910022,0.026921224,82.62681449,6/20/22,0.013196054,0.018665678,0.684563223,0.024384262,17.58101798,3.671257957,0.532062758,0.473107534,0.266546279,0.251663637,0.448515545
26,2022,Monsoon,Growth,16.86346939,0.695188734,7.851247166,11.07678653,8.55E-05,-8.567696679,901.0714286,2.68174449,0.797574082,2.067538163,1.739659286,49,0.243629645,0.579737614,0.525641647,0.300122595,7.52E-06,0.34888931,0.108595786,0.236974153,0.227841941,63.16071486,6/27/22,0.005372841,0.026012508,0.698453972,0.035823376,17.60977526,2.527237644,0.357311491,0.656441925,0.197120028,0.205356298,0.30424366
27,2022,Monsoon,Growth,19.54959184,1.334278723,8.597732426,10.60095381,8.78E-05,-8.008949669,1545.571429,6.838059796,2.277723878,5.283261224,4.557891837,49,0.446147813,1.009942225,0.705237754,0.11446377,7.77E-06,0.274463191,0.125204296,0.198959956,0.198047882,90.83078899,7/4/22,0.028500084,0.010848748,0.674235521,0.007064246,19.25559661,3.766287806,0.419596609,0.410596609,0.220502287,0.208313539,0.486225665
28,2022,Monsoon,Growth,23.10734694,1.848628536,6.706575964,6.799326555,0.000114396,-4.019454033,1553.7,5.989881633,2.036760408,4.730777551,4.01332102,49,0.229721396,0.477267792,0.512097974,0.031785555,9.19E-06,0.179870098,0.081547824,0.123106461,0.128933201,81.04662181,7/11/22,0.043242916,0.004360753,0.69656777,0.030428054,22.11069049,3.351858974,0.172783516,0.345574213,0.263981909,0.256007577,0.511153701
29,2022,Monsoon,Growth,23.70081633,1.721102084,6.047845805,6.379792905,0.000114466,-3.145734388,1579.973469,3.621361224,1.196063265,2.643811429,2.408712245,49,0.187410486,0.389469512,0.6224598,0.033805866,8.32E-06,0.180901811,0.067654141,0.144162063,0.123784112,65.79764542,7/18/22,0.038788217,0.033697204,0.713198984,0.0392859,21.71450131,3.047780059,0.13907274,0.339501311,0.180949737,0.183547089,0.364279392
30,2022,Monsoon,Growth,16.25469388,0.382081538,9.880725624,8.044577532,9.57E-05,-6.508355705,851.9118367,1.750243384,0.607810251,1.161980578,1.179026817,49,0.351666719,0.619162754,0.846616824,0.491621962,1.15E-05,0.326348858,0.115220856,0.192300472,0.219490914,99.93131146,7/25/22,0.044108875,0.040931766,0.798293426,0.105282745,18.60589062,2.990595958,0.28936888,0.414586271,0.320658565,0.321208405,0.623582364
31,2022,Monsoon,Growth,18.33714286,0.518819219,15.45555556,8.996489043,0.000130443,-7.569754319,1168.563265,5.893262041,2.059526327,4.156942857,3.976394184,49,0.182484973,0.494517203,0.64413858,0.144610783,1.18E-05,0.354619419,0.171563204,0.272538598,0.261540033,74.33196721,8/1/22,0.044762798,0.012511077,0.719076459,0.014137181,17.91572108,2.749121092,-0.471501142,0.112665525,0.24977519,0.268511912,0.458186849
32,2022,Monsoon,Growth,17.62734694,0.646787169,17.65759637,8.747443822,0.000123642,-6.99641213,1078.017143,6.241632041,2.818914286,4.865869184,4.530273163,49,0.371200568,0.584987529,0.951877981,0.375447114,1.22E-05,0.498811095,0.220980606,0.343892441,0.354395205,101.9224781,8/8/22,0.057886732,0.047625152,0.794257486,0.08096248,18.69489661,2.084646724,-1.041257236,-0.198949544,0.357438164,0.414354403,0.578176974
33,2022,Monsoon,Growth,17.14734694,0.397607863,17.62834467,8.361946341,0.000102688,-6.317986386,805.5689796,4.336278673,1.521104265,3.313461429,2.928691469,49,0.281444098,0.526629075,0.820234126,0.110373145,8.92E-06,0.428745192,0.202704182,0.336071714,0.312478203,78.39799649,8/15/22,0.045848857,0.009180313,0.866070222,0.008603819,17.63913369,2.409336745,-0.006038724,0.513616448,0.353032887,0.339064446,0.447402602
34,2022,Monsoon,Max,16.64897959,0.283310834,17.78072562,9.468392724,0.000134432,-7.934579937,1073.071429,4.105617016,1.696496082,3.010695139,2.901056549,49,0.260298959,0.44846359,0.892305239,0.238751471,1.02E-05,0.455662552,0.200580001,0.358906393,0.325077858,60.60092421,8/22/22,0.038100318,0.015145979,0.873916106,0.025375891,16.93991753,2.568042596,0.252953249,0.75313182,0.229293667,0.241563525,0.343169127
35,2022,Monsoon,Max,18.17809524,0.504562174,14.92675737,9.900704376,0.000113648,-7.809652639,983.4142857,8.068691837,3.701486122,6.214314286,5.88508898,49,0.255817066,0.650367363,1.015277397,0.125304248,8.49E-06,0.403201384,0.230158151,0.307403875,0.305938665,79.46254352,8/29/22,0.034548085,0.012398779,0.851247921,0.010005261,17.671966,2.879119252,-0.691248288,0.151608855,0.327923272,0.337413926,0.544102395
36,2022,Monsoon,Max,17.93928571,1.044295854,12.03469388,14.4201278,9.79E-05,-12.62658087,1413.714286,8.833838776,4.174240408,6.965044224,6.504039592,49,0.179147172,0.428036979,0.538845035,0.125518005,6.55E-06,0.492063191,0.229920575,0.40777643,0.355778836,45.07957132,9/5/22,0.032661845,0.004630657,0.835826347,0.002314851,16.37376448,2.419122301,0.063208923,0.068208923,0.379626723,0.349584437,0.570192595
37,2022,Monsoon,Max,16.66306122,0.859002661,10.00204082,13.75494198,8.94E-05,-11.93453813,1513.620408,8.027873469,3.700377959,6.487363265,5.864125714,49,0.183074463,0.471131576,0.553689121,0.060304992,8.03E-06,0.328578251,0.200085013,0.294178139,0.259409227,42.54964537,9/12/22,0.024497434,0.006894862,0.834059765,0.002712883,15.47423484,2.968806051,0.593927148,0.473619456,0.258258261,0.233547631,0.368235071
38,2022,Monsoon,Max,18.01938776,0.988538943,10.84421769,13.34561248,8.25E-05,-11.29159938,1411.630612,8.097279053,3.7576829,6.742725184,5.927480977,49,0.225274475,0.649865549,0.663859405,0.363874462,6.51E-06,0.461083503,0.230466205,0.405820563,0.342665839,54.60472963,9/19/22,0.024420805,0.032280894,0.835736062,0.008067033,17.36212484,2.63780851,0.219771902,0.277713078,0.212082945,0.196096156,0.319881268
